#ID,Chapter Name,Chapter No,Board,Class,Subject,Series,Image,Position,Status,Action
5920,History : 6. The Golden Age of the Guptas,13,CBSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,13,Active,
5921,History : 6. The Golden Age of the Guptas,13,ICSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,13,Active,
5922,History : 6. The Vedic Civilisation,6,ICSE,Class 6,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,6,Active,
5923,History : 6. The Vedic Civilisation,6,ICSE,Class 6,History & Civics,Focus on History & Civics,,6,Active,
5924,History : 6. The Vijayanagara and Bahamani Kingdoms,6,ICSE,Class 7,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,6,Active,
5925,History : 6. The Vijayanagara and Bahamani Kingdoms,6,ICSE,Class 7,History & Civics,Focus on History & Civics,,6,Active,
5926,History : 7. Foundation of the Mughal Empire,7,ICSE,Class 7,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,7,Active,
5927,History : 7. Foundation of the Mughal Empire,7,ICSE,Class 7,History & Civics,Focus on History & Civics,,7,Active,
5928,History : 7. Mahavira and Buddha — Great Preachers,7,ICSE,Class 6,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,7,Active,
5929,History : 7. Mahavira and Buddha — Great Preachers,7,ICSE,Class 6,History & Civics,Focus on History & Civics,,7,Active,
5930,History : 7. Medieval India : South India and the Cholas,14,CBSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,14,Active,
5931,History : 7. Medieval India : South India and the Cholas,14,CBSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,14,Active,
5932,History : 7. Medieval India : South India and the Cholas,14,ICSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,14,Active,
5933,History : 7. The Great Uprising of 1857,7,ICSE,Class 8,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,7,Active,
5934,History : 7. The Great Uprising of 1857,7,ICSE,Class 8,History & Civics,Focus on History & Civics,,7,Active,
5935,History : 7. The National Movement (During the First World War),13,CBSE,Class 10,History & Civics,ICSE History & Civics (2023-24 ),,13,Active,
5936,History : 7. The National Movement (During the First World War),13,ICSE,Class 10,History & Civics,ICSE History & Civics (2023-24 ),,13,Active,
5937,History : 8. Akbar,8,ICSE,Class 7,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,8,Active,
5938,History : 8. Akbar,8,ICSE,Class 7,History & Civics,Focus on History & Civics,,8,Active,
5939,History : 8. Mahatma Gandhi and the National Movement,14,CBSE,Class 10,History & Civics,ICSE History & Civics (2023-24 ),,14,Active,
5940,History : 8. Mahatma Gandhi and the National Movement,14,ICSE,Class 10,History & Civics,ICSE History & Civics (2023-24 ),,14,Active,
5941,History : 8. Medieval India  The Delhi Sultanate,15,CBSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,15,Active,
5942,History : 8. Medieval India  The Delhi Sultanate,15,CBSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,15,Active,
5943,History : 8. Medieval India  The Delhi Sultanate,15,ICSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,15,Active,
5944,History : 8. Reform Movements,8,ICSE,Class 8,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,8,Active,
5945,History : 8. Reform Movements,8,ICSE,Class 8,History & Civics,Focus on History & Civics,,8,Active,
5946,History : 8. Rise of Kingdoms and Republics,8,ICSE,Class 6,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,8,Active,
5947,History : 8. Rise of Kingdoms and Republics,8,ICSE,Class 6,History & Civics,Focus on History & Civics,,8,Active,
5948,"History : 9. Jahangir, Shah Jahan and Aurangzeb",9,ICSE,Class 7,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,9,Active,
5949,"History : 9. Jahangir, Shah Jahan and Aurangzeb",9,ICSE,Class 7,History & Civics,Focus on History & Civics,,9,Active,
5950,History : 9. Struggle for Freedom (I),9,ICSE,Class 8,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,9,Active,
5951,History : 9. Struggle for Freedom (I),9,ICSE,Class 8,History & Civics,Focus on History & Civics,,9,Active,
5952,History : 9. The Mauryan Empire,9,ICSE,Class 6,History & Civics,Focus on History & Civics (For Acad. Year 2023-24),,9,Active,
5953,History : 9. The Mauryan Empire,9,ICSE,Class 6,History & Civics,Focus on History & Civics,,9,Active,
5954,History : 9. The Mughal Empire,16,CBSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,16,Active,
5955,History : 9. The Mughal Empire,16,CBSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,16,Active,
5956,History : 9. The Mughal Empire,16,ICSE,Class 9,History & Civics,ICSE History & Civics (2023-24 ),,16,Active,
5957,History : 9. The National Movement (1935,15,CBSE,Class 10,History & Civics,ICSE History & Civics (2023-24 ),,15,Active,
5958,History : 9. The National Movement (1935,15,ICSE,Class 10,History & Civics,ICSE History & Civics (2023-24 ),,15,Active,
5959,History 1. Beginning Of The Modern Period,1,CBSE,Class 8,Social Science,Social Science Success (2023-24),,1,Active,
5960,"History 1. Introduction : What. Where, How and When?",1,CBSE,Class 6,Social Science,Social Science Success (2023-24),,1,Active,
5961,History 1. Trxing Changes in the Medieval period,1,CBSE,Class 7,Social Science,Social Science Success (2023-24),,1,Active,
5962,History 10. Contacts with Distant Lands (200 BCE,10,CBSE,Class 6,Social Science,Social Science Success (2023-24),,10,Active,
5963,History 11. Political Developments,11,CBSE,Class 6,Social Science,Social Science Success (2023-24),,11,Active,
5964,History 12. Culture and Science,12,CBSE,Class 6,Social Science,Social Science Success (2023-24),,12,Active,
5965,History 2. From Traders to Rulers,2,CBSE,Class 8,Social Science,Social Science Success (2023-24),,2,Active,
5966,History 2. New Kings and Kingdoms,2,CBSE,Class 7,Social Science,Social Science Success (2023-24),,2,Active,
5967,History 2. The Earliest People,2,CBSE,Class 6,Social Science,Social Science Success (2023-24),,2,Active,
5968,History 3. The Countryside Under The Companys Rule,3,CBSE,Class 8,Social Science,Social Science Success (2023-24),,3,Active,
5969,History 3. The Sultans of Delhi,3,CBSE,Class 7,Social Science,Social Science Success (2023-24),,3,Active,
5970,History 3.The First Farmers and Herders,3,CBSE,Class 6,Social Science,Social Science Success (2023-24),,3,Active,
5971,History 4. The First Cities,4,CBSE,Class 6,Social Science,Social Science Success (2023-24),,4,Active,
5972,History 4. The Mughal Empire,4,CBSE,Class 7,Social Science,Social Science Success (2023-24),,4,Active,
5973,History 4. Tribals During the Colonial Rule,4,CBSE,Class 8,Social Science,Social Science Success (2023-24),,4,Active,
5974,History 5. Different Ways Of Life : The Vedic Period,5,CBSE,Class 6,Social Science,Social Science Success (2023-24),,5,Active,
5975,History 5. The Rebellion of 1857,5,CBSE,Class 8,Social Science,Social Science Success (2023-24),,5,Active,
5976,"History 5. Tritrs, Nomads and Settled Communities",5,CBSE,Class 7,Social Science,Social Science Success (2023-24),,5,Active,
5977,History 6. Attempts to 'Civilise' and the Native,6,CBSE,Class 8,Social Science,Social Science Success (2023-24),,6,Active,
5978,History 6. Early Kingdoms,6,CBSE,Class 6,Social Science,Social Science Success (2023-24),,6,Active,
5979,History 6. Religious Beliefs and Devotional paths,6,CBSE,Class 7,Social Science,Social Science Success (2023-24),,6,Active,
5980,History 7. Reforms. Reformers and Women,7,CBSE,Class 8,Social Science,Social Science Success (2023-24),,7,Active,
5981,History 7. Spread of New Ideas,7,CBSE,Class 6,Social Science,Social Science Success (2023-24),,7,Active,
5982,History 7. The Flowering of Regional Cultures,7,CBSE,Class 7,Social Science,Social Science Success (2023-24),,7,Active,
5983,History 8. Political Formations in the Eighteenth Century,8,CBSE,Class 7,Social Science,Social Science Success (2023-24),,8,Active,
5984,History 8. The First Empire,8,CBSE,Class 6,Social Science,Social Science Success (2023-24),,8,Active,
5985,History 8. The National Movement (1870 1947),8,CBSE,Class 8,Social Science,Social Science Success (2023-24),,8,Active,
5986,History 9. Life in Villages and Towns (600 BCE  300 CE),9,CBSE,Class 6,Social Science,Social Science Success (2023-24),,9,Active,
5987,Hydrogen,7,ICSE,Class 8,Chemistry,Learning Elementary Chemistry,,7,Active,
5988,Hygiene & Cleanliness,8,CBSE,Class 2,Moral Science,My Book of Life Skills,,8,Active,
5989,Hygiene & Cleanliness,8,CBSE,Class 1,Computer Science,Fun with Linux,,8,Active,
5990,In My Family,7,ICSE,Class 2,Environmental Studies,Essential Environmental Studies,,7,Active,
5991,Keeping Clean,8,ICSE,Class 2,Environmental Studies,Essential Environmental Studies,,8,Active,
5992,Keeping Safe and Healthy,9,ICSE,Class 2,Environmental Studies,Essential Environmental Studies,,9,Active,
5993,LETTERS OF THE ALPHABET,1,CBSE,Class 1,English,Grammar Success with Composition,,1,Active,
5994,Likho aur Sikho,5,CBSE,LKG,Kindergarten,Zig Zag Zoom,,5,Active,
5995,Map Work (World Map),19,ICSE,Class 9,Geography,A Textbook of Geography (2023-24),,19,Active,
5996,Math Rhymes : Chapter 1 One little flower,33,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,33,Active,
5997,Math Rhymes : Chapter 10 Five little apple,42,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,42,Active,
5998,Math Rhymes : Chapter 11 One Two Bockle My Shoe,43,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,43,Active,
5999,Math Rhymes : Chapter 2 Two little hands,34,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,34,Active,
6000,Math Rhymes : Chapter 3 Rub a dub dub,35,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,35,Active,
6001,Math Rhymes : Chapter 4 Four little ducks,36,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,36,Active,
6002,Math Rhymes : Chapter 5 Five Little Monkeys,37,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,37,Active,
6003,Math Rhymes : Chapter 6 One and One,38,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,38,Active,
6004,Math Rhymes : Chapter 7 Seven little snowmen,39,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,39,Active,
6005,Math Rhymes : Chapter 8 One Two Three Four,40,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,40,Active,
6006,Math Rhymes : Chapter 9 Engine engine,41,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,41,Active,
6007,Mathematics,5,Test Board,Class 10,All Subject ( Test),Meghalaya Board Social Science,,5,Active,
6008,Maths Rhymes : Chapter 1 One Two Three Four,27,CBSE,LKG,Kindergarten,Zig Zag Zoom,,27,Active,
6009,Maths Rhymes : Chapter 10 One little flower,36,CBSE,LKG,Kindergarten,Zig Zag Zoom,,36,Active,
6010,Maths Rhymes : Chapter 11 One Two Bockle My Shoe,37,CBSE,LKG,Kindergarten,Zig Zag Zoom,,37,Active,
6011,Maths Rhymes : Chapter 2 Rub a dub dub,28,CBSE,LKG,Kindergarten,Zig Zag Zoom,,28,Active,
6012,Maths Rhymes : Chapter 3 Seven little snowmen,29,CBSE,LKG,Kindergarten,Zig Zag Zoom,,29,Active,
6013,Maths Rhymes : Chapter 4 Two little hands,30,CBSE,LKG,Kindergarten,Zig Zag Zoom,,30,Active,
6014,Maths Rhymes : Chapter 5 Engine engine,31,CBSE,LKG,Kindergarten,Zig Zag Zoom,,31,Active,
6015,Maths Rhymes : Chapter 6 Five little apple,32,CBSE,LKG,Kindergarten,Zig Zag Zoom,,32,Active,
6016,Maths Rhymes : Chapter 7 Five Little Monkeys,33,CBSE,LKG,Kindergarten,Zig Zag Zoom,,33,Active,
6017,Maths Rhymes : Chapter 8 Four little ducks,34,CBSE,LKG,Kindergarten,Zig Zag Zoom,,34,Active,
6018,Maths Rhymes : Chapter 9 One and One,35,CBSE,LKG,Kindergarten,Zig Zag Zoom,,35,Active,
6019,Means of Communication,13,CBSE,Class 2,Social Studies,Illustrative Social Studies,,13,Active,
6020,Means of Communication,3,ICSE,Class 1,Environmental Studies,Essential Environmental Studies,,3,Active,
6021,Means of Transport,12,CBSE,Class 2,Social Studies,Illustrative Social Studies,,12,Active,
6022,Means of Transport,4,ICSE,Class 1,Environmental Studies,Essential Environmental Studies,,4,Active,
6023,Medieval Europe – Rise and Spread of Christianity,1,CBSE,Class 7,History & Civics,Focus on History & Civics,,1,Active,
6024,Mera Pahela Akshar,6,CBSE,LKG,Kindergarten,Zig Zag Zoom,,6,Active,
6025,MODAL AUXILIARIES,4,CBSE,Class 8,English,Grammar Success with Composition,,4,Active,
6026,MODAL VERBS,3,CBSE,Class 7,English,Grammar Success with Composition,,3,Active,
6027,Model Test Paper 1,15,CBSE,Class 10,Science,NCQRT Science,,15,Active,
6028,Model Test Paper 1,7,CBSE,Class 10,Political Science,NCQRT Political Science,,7,Active,
6029,Model Test Paper 1,7,CBSE,Class 10,History,NCQRT History,,7,Active,
6030,Model Test Paper 1,7,CBSE,Class 10,Economics,NCQRT Economics,,7,Active,
6031,Model Test Paper 1,9,CBSE,Class 10,Geography,NCQRT Geography,,9,Active,
6032,Model Test Paper 1,13,CBSE,Class 9,Science,NCQRT Science,,13,Active,
6033,Model Test Paper 1,12,CBSE,Class 9,Mathematics,NCQRT Mathematics,,12,Active,
6034,Model Test Paper 1,6,CBSE,Class 9,Political Science,NCQRT Political Science,,6,Active,
6035,Model Test Paper 1,6,CBSE,Class 9,History,NCQRT History,,6,Active,
6036,Model Test Paper 1,5,CBSE,Class 9,Economics,NCQRT Economics,,5,Active,
6037,Model Test Paper 1,7,CBSE,Class 9,Geography,NCQRT Geography,,7,Active,
6038,Model Test Paper 1 (Standard),20,CBSE,Class 10,Mathematics,NCQRT Mathematics,,20,Active,
6039,Model Test Paper 1 (Basic),16,CBSE,Class 10,Mathematics,NCQRT Mathematics,,16,Active,
6040,Model Test Paper 2,16,CBSE,Class 10,Science,NCQRT Science,,16,Active,
6041,Model Test Paper 2,8,CBSE,Class 10,Political Science,NCQRT Political Science,,8,Active,
6042,Model Test Paper 2,8,CBSE,Class 10,History,NCQRT History,,8,Active,
6043,Model Test Paper 2,8,CBSE,Class 10,Economics,NCQRT Economics,,8,Active,
6044,Model Test Paper 2,10,CBSE,Class 10,Geography,NCQRT Geography,,10,Active,
6045,Model Test Paper 2,14,CBSE,Class 9,Science,NCQRT Science,,14,Active,
6046,Model Test Paper 2,13,CBSE,Class 9,Mathematics,NCQRT Mathematics,,13,Active,
6047,Model Test Paper 2,7,CBSE,Class 9,Political Science,NCQRT Political Science,,7,Active,
6048,Model Test Paper 2,7,CBSE,Class 9,History,NCQRT History,,7,Active,
6049,Model Test Paper 2,6,CBSE,Class 9,Economics,NCQRT Economics,,6,Active,
6050,Model Test Paper 2,8,CBSE,Class 9,Geography,NCQRT Geography,,8,Active,
6051,Model Test Paper 2 (Standard),21,CBSE,Class 10,Mathematics,NCQRT Mathematics,,21,Active,
6052,Model Test Paper 2 (Basic),17,CBSE,Class 10,Mathematics,NCQRT Mathematics,,17,Active,
6053,Model Test Paper 3,17,CBSE,Class 10,Science,NCQRT Science,,17,Active,
6054,Model Test Paper 3,9,CBSE,Class 10,Political Science,NCQRT Political Science,,9,Active,
6055,Model Test Paper 3,9,CBSE,Class 10,History,NCQRT History,,9,Active,
6056,Model Test Paper 3,9,CBSE,Class 10,Economics,NCQRT Economics,,9,Active,
6057,Model Test Paper 3,11,CBSE,Class 10,Geography,NCQRT Geography,,11,Active,
6058,Model Test Paper 3,15,CBSE,Class 9,Science,NCQRT Science,,15,Active,
6059,Model Test Paper 3,14,CBSE,Class 9,Mathematics,NCQRT Mathematics,,14,Active,
6060,Model Test Paper 3,8,CBSE,Class 9,Political Science,NCQRT Political Science,,8,Active,
6061,Model Test Paper 3,8,CBSE,Class 9,History,NCQRT History,,8,Active,
6062,Model Test Paper 3,7,CBSE,Class 9,Economics,NCQRT Economics,,7,Active,
6063,Model Test Paper 3,9,CBSE,Class 9,Geography,NCQRT Geography,,9,Active,
6064,Model Test Paper 3 (Standard),22,CBSE,Class 10,Mathematics,NCQRT Mathematics,,22,Active,
6065,Model Test Paper 3 (Basic),18,CBSE,Class 10,Mathematics,NCQRT Mathematics,,18,Active,
6066,My A B C,2,CBSE,Nursery,Kindergarten,Zig Zag Zoom,,2,Active,
6067,My A B C,2,CBSE,LKG,Kindergarten,Zig Zag Zoom,,2,Active,
6068,My A B C,2,CBSE,UKG,Kindergarten,Zig Zag Zoom,,2,Active,
6069,My A B C : Chapter 1 Alphabet Revision,1,CBSE,UKG,Kindergarten,Zig Zag Zoom,,1,Active,
6070,My A B C : Chapter 1 Letter 'A a',1,CBSE,LKG,Kindergarten,Zig Zag Zoom,,1,Active,
6071,My A B C : Chapter 10 Letter 'j j,10,CBSE,LKG,Kindergarten,Zig Zag Zoom,,10,Active,
6072,My A B C : Chapter 10 Vowel 'i' and Two letter Groups,10,CBSE,UKG,Kindergarten,Zig Zag Zoom,,10,Active,
6073,My A B C : Chapter 11 Letter 'K,11,CBSE,LKG,Kindergarten,Zig Zag Zoom,,11,Active,
6074,My A B C : Chapter 11 More 'i' Sound Words,11,CBSE,UKG,Kindergarten,Zig Zag Zoom,,11,Active,
6075,My A B C : Chapter 12 Letter L I',12,CBSE,LKG,Kindergarten,Zig Zag Zoom,,12,Active,
6076,My A B C : Chapter 12 Vowel 'o' and Two letter Groups,12,CBSE,UKG,Kindergarten,Zig Zag Zoom,,12,Active,
6077,My A B C : Chapter 13 Letter M m,13,CBSE,LKG,Kindergarten,Zig Zag Zoom,,13,Active,
6078,My A B C : Chapter 13 More '0' Sound Words,13,CBSE,UKG,Kindergarten,Zig Zag Zoom,,13,Active,
6079,My A B C : Chapter 14 Letter 'N n,14,CBSE,LKG,Kindergarten,Zig Zag Zoom,,14,Active,
6080,My A B C : Chapter 14 Vowel 'u' and Two letter Groups,14,CBSE,UKG,Kindergarten,Zig Zag Zoom,,14,Active,
6081,My A B C : Chapter 15 Letter O o,15,CBSE,LKG,Kindergarten,Zig Zag Zoom,,15,Active,
6082,My A B C : Chapter 15 More 'u' Sound Words,15,CBSE,UKG,Kindergarten,Zig Zag Zoom,,15,Active,
6083,My A B C : Chapter 16 Letter 'P p,16,CBSE,LKG,Kindergarten,Zig Zag Zoom,,16,Active,
6084,My A B C : Chapter 16 Sight Words 2,16,CBSE,UKG,Kindergarten,Zig Zag Zoom,,16,Active,
6085,My A B C : Chapter 17 Letter Q q,17,CBSE,LKG,Kindergarten,Zig Zag Zoom,,17,Active,
6086,My A B C : Chapter 17 Long 'a' Sound Words,17,CBSE,UKG,Kindergarten,Zig Zag Zoom,,17,Active,
6087,My A B C : Chapter 18 Letter R r,18,CBSE,LKG,Kindergarten,Zig Zag Zoom,,18,Active,
6088,My A B C : Chapter 18 Long 'e' Sound Words,18,CBSE,UKG,Kindergarten,Zig Zag Zoom,,18,Active,
6089,My A B C : Chapter 19 Letter S s,19,CBSE,LKG,Kindergarten,Zig Zag Zoom,,19,Active,
6090,My A B C : Chapter 19 Long 'i' Sound Words,19,CBSE,UKG,Kindergarten,Zig Zag Zoom,,19,Active,
6091,My A B C : Chapter 2 Letter 'B b',2,CBSE,LKG,Kindergarten,Zig Zag Zoom,,2,Active,
6092,"My A B C : Chapter 2 One Two Three (Poem), .",2,CBSE,UKG,Kindergarten,Zig Zag Zoom,,2,Active,
6093,My A B C : Chapter 20 Letter T t,20,CBSE,LKG,Kindergarten,Zig Zag Zoom,,20,Active,
6094,My A B C : Chapter 20 Long 'o' Sound Words,20,CBSE,UKG,Kindergarten,Zig Zag Zoom,,20,Active,
6095,My A B C : Chapter 21 Letter U u,21,CBSE,LKG,Kindergarten,Zig Zag Zoom,,21,Active,
6096,My A B C : Chapter 21 Long 'u' Sound Words,21,CBSE,UKG,Kindergarten,Zig Zag Zoom,,21,Active,
6097,My A B C : Chapter 22 Double Letters 'ee' Words,22,CBSE,UKG,Kindergarten,Zig Zag Zoom,,22,Active,
6098,My A B C : Chapter 22 Letter V v,22,CBSE,LKG,Kindergarten,Zig Zag Zoom,,22,Active,
6099,My A B C : Chapter 23 Double Letters 'II' Words,23,CBSE,UKG,Kindergarten,Zig Zag Zoom,,23,Active,
6100,My A B C : Chapter 23 Letter W w,23,CBSE,LKG,Kindergarten,Zig Zag Zoom,,23,Active,
6101,My A B C : Chapter 24 Double Letters '00' Words,24,CBSE,UKG,Kindergarten,Zig Zag Zoom,,24,Active,
6102,My A B C : Chapter 24 Letter X x,24,CBSE,LKG,Kindergarten,Zig Zag Zoom,,24,Active,
6103,My A B C : Chapter 25 Letter Y y,25,CBSE,LKG,Kindergarten,Zig Zag Zoom,,25,Active,
6104,My A B C : Chapter 25 Sound Blends I,25,CBSE,UKG,Kindergarten,Zig Zag Zoom,,25,Active,
6105,My A B C : Chapter 26 Letter Z z,26,CBSE,LKG,Kindergarten,Zig Zag Zoom,,26,Active,
6106,My A B C : Chapter 26 Sound Blends h .,26,CBSE,UKG,Kindergarten,Zig Zag Zoom,,26,Active,
6107,My A B C : Chapter 27 Sound Blends r,27,CBSE,UKG,Kindergarten,Zig Zag Zoom,,27,Active,
6108,My A B C : Chapter 27 Vowels and Consonants.,27,CBSE,LKG,Kindergarten,Zig Zag Zoom,,27,Active,
6109,My A B C : Chapter 28 Fun Time,28,CBSE,UKG,Kindergarten,Zig Zag Zoom,,28,Active,
6110,My A B C : Chapter 28 Vowel 'a' and Two letter Groups .,28,CBSE,LKG,Kindergarten,Zig Zag Zoom,,28,Active,
6111,My A B C : Chapter 29 More Words with 'a' Sound,29,CBSE,LKG,Kindergarten,Zig Zag Zoom,,29,Active,
6112,My A B C : Chapter 29 Sight Words 3,29,CBSE,UKG,Kindergarten,Zig Zag Zoom,,29,Active,
6113,My A B C : Chapter 3 Letter 'C,3,CBSE,LKG,Kindergarten,Zig Zag Zoom,,3,Active,
6114,My A B C : Chapter 3 Vowels,3,CBSE,UKG,Kindergarten,Zig Zag Zoom,,3,Active,
6115,My A B C : Chapter 30 A and An,30,CBSE,UKG,Kindergarten,Zig Zag Zoom,,30,Active,
6116,My A B C : Chapter 30 Sight Words I..,30,CBSE,LKG,Kindergarten,Zig Zag Zoom,,30,Active,
6117,My A B C : Chapter 31 One and Many,31,CBSE,UKG,Kindergarten,Zig Zag Zoom,,31,Active,
6118,My A B C : Chapter 31 Vowel 'e' and Two letter Groups,31,CBSE,LKG,Kindergarten,Zig Zag Zoom,,31,Active,
6119,My A B C : Chapter 32 More Words with •e' Sound,32,CBSE,LKG,Kindergarten,Zig Zag Zoom,,32,Active,
6120,My A B C : Chapter 32 This and That .,32,CBSE,UKG,Kindergarten,Zig Zag Zoom,,32,Active,
6121,"My A B C : Chapter 33 Is this / is that,",33,CBSE,UKG,Kindergarten,Zig Zag Zoom,,33,Active,
6122,My A B C : Chapter 33 Vowel 'i' and Two letter Groups..,33,CBSE,LKG,Kindergarten,Zig Zag Zoom,,33,Active,
6123,My A B C : Chapter 34 More Words with 'i' Sound.,34,CBSE,LKG,Kindergarten,Zig Zag Zoom,,34,Active,
6124,My A B C : Chapter 34 These and Those..,34,CBSE,UKG,Kindergarten,Zig Zag Zoom,,34,Active,
6125,My A B C : Chapter 35 Are these / Are those .,35,CBSE,UKG,Kindergarten,Zig Zag Zoom,,35,Active,
6126,My A B C : Chapter 35 Sight Words 2 .,35,CBSE,LKG,Kindergarten,Zig Zag Zoom,,35,Active,
6127,My A B C : Chapter 36 Vowel 'o' and Two letter Groups .,36,CBSE,LKG,Kindergarten,Zig Zag Zoom,,36,Active,
6128,My A B C : Chapter 36 What is this / that?..,36,CBSE,UKG,Kindergarten,Zig Zag Zoom,,36,Active,
6129,My A B C : Chapter 37 More Words with 'o' Sound,37,CBSE,LKG,Kindergarten,Zig Zag Zoom,,37,Active,
6130,My A B C : Chapter 37 Who (Question Word)?,37,CBSE,UKG,Kindergarten,Zig Zag Zoom,,37,Active,
6131,My A B C : Chapter 38 There is / There are,38,CBSE,UKG,Kindergarten,Zig Zag Zoom,,38,Active,
6132,My A B C : Chapter 38 Vowel •u' and Two letter Groups .,38,CBSE,LKG,Kindergarten,Zig Zag Zoom,,38,Active,
6133,My A B C : Chapter 39 Has and Have.,39,CBSE,UKG,Kindergarten,Zig Zag Zoom,,39,Active,
6134,My A B C : Chapter 39 More Words with 'u' Sound,39,CBSE,LKG,Kindergarten,Zig Zag Zoom,,39,Active,
6135,My A B C : Chapter 4 Consonants.,4,CBSE,UKG,Kindergarten,Zig Zag Zoom,,4,Active,
6136,My A B C : Chapter 4 Letter 'D d',4,CBSE,LKG,Kindergarten,Zig Zag Zoom,,4,Active,
6137,My A B C : Chapter 40 Opposite Words,40,CBSE,UKG,Kindergarten,Zig Zag Zoom,,40,Active,
6138,My A B C : Chapter 40 Sight Words 3 .,40,CBSE,LKG,Kindergarten,Zig Zag Zoom,,40,Active,
6139,"My A B C : Chapter 41 In, On, Under",1,CBSE,UKG,Kindergarten,Zig Zag Zoom,,1,Active,
6140,My A B C : Chapter 41 Practice with Vowel A,41,CBSE,LKG,Kindergarten,Zig Zag Zoom,,41,Active,
6141,"My A B C : Chapter 42 Behind, Between, In Front Of",2,CBSE,UKG,Kindergarten,Zig Zag Zoom,,2,Active,
6142,My A B C : Chapter 42 Practice with Vowel E,42,CBSE,LKG,Kindergarten,Zig Zag Zoom,,42,Active,
6143,My A B C : Chapter 43 Action Words,3,CBSE,UKG,Kindergarten,Zig Zag Zoom,,3,Active,
6144,My A B C : Chapter 43 Practice with Vowel I,43,CBSE,LKG,Kindergarten,Zig Zag Zoom,,43,Active,
6145,My A B C : Chapter 44 Fun Time,4,CBSE,UKG,Kindergarten,Zig Zag Zoom,,4,Active,
6146,My A B C : Chapter 44 Practice with Vowel O,44,CBSE,LKG,Kindergarten,Zig Zag Zoom,,44,Active,
6147,My A B C : Chapter 45 Practice with Vowel U,45,CBSE,LKG,Kindergarten,Zig Zag Zoom,,45,Active,
6148,My A B C : Chapter 45 Sight Words 4,5,CBSE,UKG,Kindergarten,Zig Zag Zoom,,5,Active,
6149,My A B C : Chapter 46 A and An .,46,CBSE,LKG,Kindergarten,Zig Zag Zoom,,46,Active,
6150,My A B C : Chapter 46 Colours,6,CBSE,UKG,Kindergarten,Zig Zag Zoom,,6,Active,
6151,My A B C : Chapter 47 Has and Have..,47,CBSE,LKG,Kindergarten,Zig Zag Zoom,,47,Active,
6152,My A B C : Chapter 47 Pairs,7,CBSE,UKG,Kindergarten,Zig Zag Zoom,,7,Active,
6153,My A B C : Chapter 48 Days of the Week,8,CBSE,UKG,Kindergarten,Zig Zag Zoom,,8,Active,
6154,"My A B C : Chapter 48 In, On, Under and Behind.",48,CBSE,LKG,Kindergarten,Zig Zag Zoom,,48,Active,
6155,My A B C : Chapter 49 Months Of the Year,9,CBSE,UKG,Kindergarten,Zig Zag Zoom,,9,Active,
6156,My A B C : Chapter 49 Sight Words 4 .,49,CBSE,LKG,Kindergarten,Zig Zag Zoom,,49,Active,
6157,My A B C : Chapter 5 Letter 'E e'..,5,CBSE,LKG,Kindergarten,Zig Zag Zoom,,5,Active,
6158,My A B C : Chapter 5 Sight Words I,5,CBSE,UKG,Kindergarten,Zig Zag Zoom,,5,Active,
6159,My A B C : Chapter 50 A Clown (Poem) ..,50,CBSE,LKG,Kindergarten,Zig Zag Zoom,,50,Active,
6160,My A B C : Chapter 50 Fun Time,10,CBSE,UKG,Kindergarten,Zig Zag Zoom,,10,Active,
6161,My A B C : Chapter 51 Fun Time,11,CBSE,UKG,Kindergarten,Zig Zag Zoom,,11,Active,
6162,My A B C : Chapter 51 The Almighty God (Poem)..,51,CBSE,LKG,Kindergarten,Zig Zag Zoom,,51,Active,
6163,My A B C : Chapter 52 Five Litfie Monkeys (Poem),52,CBSE,LKG,Kindergarten,Zig Zag Zoom,,52,Active,
